Article ID,Domain,Date,Category,Headline,Content,Label,Source,Relation,F-Type
1,Facebook Page,2025-12-31 21:00:00,Politics,খালেদা জিয়ার মৃত্যুতে শেখ হাসিনার শোক জানানো প্রসঙ্গে কর্নেল অলি,"এই প্রেক্ষাপটে সামাজিক যোগাযোগমাধ্যমে বীর মুক্তিযোদ্ধা এবং লিবারেল ডেমোক্রেটিক পার্টি (এলডিপি) এর প্রেসিডেন্ট ড. কর্নেল অলি আহমদের একটি বক্তব্য যুক্ত ফটোকার্ড প্রচার করা হয়। যেখানে দাবি করা হয় কর্নেল অলি বলেছেন, “আ.লীগ ক্ষমতায় থাকলে ঢাকায় খালেদা জিয়ার জানাজা হতে দিতো না, করতে চাইলে হাসিনা গুলি করে হলেও ঠেকাতো, আর আজ হাসিনা কুমিরের কান্না করছে, কিছু কিছু ভারতপন্থী বিএনপি নেতাকর্মী তাতে আনন্দিত হচ্ছে।” ",0,rumorscanner.com,Related,Fabricated
2,Facebook Page,2025-12-31 10:25:00,Politics,‘এবারের নির্বাচনে তারেক রহমানকে পুর্ন সমর্থন করবে ভারত’ শীর্ষক মন্তব্যটি ভারতের পররাষ্ট্র মন্ত্রণালয়ের মুখপাত্র রণধীর জয়সওয়াল করেছেন,এবারের নির্বাচনে তারেক রহমানকে পুর্ন সমর্থন করবে ভারত’ শীর্ষক মন্তব্যটি ভারতের পররাষ্ট্র মন্ত্রণালয়ের মুখপাত্র রণধীর জয়সওয়াল করেছেন,0,rumorscanner.com,Related,Fabricated
3,Facebook Page,2025-12-31 10:13:00,Politics,"‘আ: লীগের চামড়া তুলে নেওয়া হবে বলতে চেয়েছিলাম, মুখ দিয়ে মামলা তুলে নেওয়া হবে চলে এসেছিল: মির্জা ফখরুল’","গত ১১ নভেম্বর ঠাকুরগাঁওয়ে বিএনপির আলোচনা সভায় আওয়ামী লীগকে উদ্দেশ্য করে মির্জা ফখরুল একটি বক্তব্য দিয়েছিলেন।এরই পরিপ্রেক্ষিতে বাংলাদেশ জাতীয়তাবাদী দলের (বিএনপি) মহাসচিব মির্জা ফখরুল ইসলাম আলমগীরকে উদ্ধৃত করে ‘আ: লীগের চামড়া তুলে নেওয়া হবে বলতে চেয়েছিলাম, মুখ দিয়ে মামলা তুলে নেওয়া হবে চলে এসেছিল: মির্জা ফখরুল’ শিরোনামে সামাজিক যোগাযোগ মাধ্যমে তার ছবি সংবলিত একটি ফটোকার্ড প্রচার করা হয়েছে।",0,rumorscanner.com,Related,Fabricated
4,Facebook Page,2025-12-31 10:06:00,Politics,‘আমার সাথে বেয়াদবির কারণে খালেদা হাত লুলা হয়ে গিয়েছে’ শিরোনামে,বাংলাদেশ জামায়াতে ইসলামীর কেন্দ্রীয় কর্মপরিষদের সদস্য ও সাবেক সংসদ সদস্য শাহজাহান চৌধুরীকে উদ্ধৃত করে ‘আমার সাথে বেয়াদবির কারণে খালেদা হাত লুলা হয়ে গিয়েছে’ ,0,rumorscanner.com,Related,Fabricated
5,Facebook Page,2025-12-31 10:25:00,Politics,‘কমপক্ষে দুই মাসের জন্য চাঁদাবাজি বন্ধ রাখতে নেতাকর্মীদের নির্দেশ দিয়েছি।’,বাংলাদেশ জাতীয়তাবাদী দলের ভারপ্রাপ্ত চেয়ারপারসন তারেক রহমানকে উদ্ধৃত করে ‘কমপক্ষে দুই মাসের জন্য চাঁদাবাজি বন্ধ রাখতে নেতাকর্মীদের নির্দেশ দিয়েছি।’ শিরোনামে আরটিভির লোগো সংবলিত একটি ফটোকার্ড ইন্টারনেটে প্রচার করা হয়েছে।,0,rumorscanner.com,Related,Altered
6,Facebook Page,2025-12-31 3:23:00,Politics,খালেদা জিয়ার মৃত্যুতে জাতীয় নির্বাচন এক বছর পিছিয়ে দেওয়ার দাবি জানিয়েছে বিএনপি," সামাজিক যোগাযোগমাধ্যমে একটি ফটোকার্ড প্রচার করা হয়, যেখানে বিএনপির জাতীয় স্থায়ী কমিটির সদস্য সালাহউদ্দিন আহমেদের  খালেদা জিয়ার মৃত্যুতে জাতীয় নির্বাচন এক বছর পিছিয়ে দেওয়ার দাবি জানিয়েছে বিএনপি। ‘সালাহউদ্দিন আহমেদপন্থী একদল বিএনপি জানান।’",0,rumorscanner.com,Related,Fabricated
7,Facebook Page,2025-12-31 3:21:00,Politics,"জান্নাতে যাবার কথা বলে মুন্সীগঞ্জে মাদ্রাসা শিক্ষার্থীকে বলাৎকার, জামায়াত নেতা আটক","‘জান্নাতে যাবার কথা বলে মুন্সীগঞ্জে মাদ্রাসা শিক্ষার্থীকে বলাৎকার, জামায়াত নেতা আটক’ এটি প্রকাশের তারিখ ১৩ নভেম্বর, ২০২৫ উল্লেখ করা হয়েছে",0,rumorscanner.com,Related,Fabricated
8,Facebook Page,2025-12-31 3:17:00,Politics,গুলি আমি করেছি আমি স্বীকার করছি’,"ইনকিলাব মঞ্চের মুখপাত্র শরিফ ওসমান হাদি  মৃত্যুবরণ প্রেক্ষিতে, ‘গুলি আমি করেছি আমি স্বীকার করছি’ শিরোনামে  জাতীয়তাবাদী দলের (বিএনপি) স্থায়ী কমিটির সদস্য মির্জা আব্বাসের . উক্ত ভিডিওতে মির্জা আব্বাসকে বলতে দেখা যায়, ‘আপনারা জানেন হাদিকে গুলি করার অর্ডার আমি দিয়েছি। ইউনূস সরকার এটা জানে কিন্তু তারা এটা প্রকাশ করবে না। এর কারণ হলো আমার লোক দিয়ে সবাইকে এমন ভয় দেখিয়েছি যে ওরা সবাই আমাকে বাবা বলে ডাকে।’",0,rumorscanner.com,Related,Fabricated
9,Facebook Page,2025-12-31 1:32:00,Politics,"এনসিপি নেত্রীকে সৌদি আরবের নম্বর থেকে ধর্ষণের হু’মকি, নম্বর প্রকাশ","জাতীয় নাগরিক পার্টির (এনসিপি) যুগ্ম সদস্য সচিব ডা. মাহমুদা মিতুকে জড়িয়ে ‘এনসিপি নেত্রীকে সৌদি আরবের নম্বর থেকে ধর্ষণের হু’মকি, নম্বর প্রকাশ’ শীর্ষক শিরোনামে বাংলাভিশনের ডিজাইন সম্বলিত একটি ফটোকার্ড সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ",0,rumorscanner.com,Related,Altered
10,Facebook Page,2025-12-31 12:45:00,Politics,জনাব তারেক রহমান সাহেব তার নিবন্ধন ও ভোটার কার্যক্রম শেষ করে ভারতে মোদীর সাথে দেখা করবেন আগামী পহেলা জানুয়ারি,জনাব তারেক রহমান সাহেব তার নিবন্ধন ও ভোটার কার্যক্রম শেষ করে ভারতে মোদীর সাথে দেখা করবেন আগামী পহেলা জানুয়ারি’,0,rumorscanner.com,Related,Altered
