Article ID,Domain,Date,Category,Headline_English,Content_English,Label,Source,Relation,F-Type
1,Facebook Page,2025-12-31 21:00:00,Politics,Colonel Oli on Sheikh Hasina's condolences on Khaleda Zia's death,"In this context, a photocard with a statement by the heroic freedom fighter and President of the Liberal Democratic Party (LDP) Dr. Colonel Oli Ahmed was circulated on social media. It is claimed that Colonel Oli said, “If the AL was in power, they would not have allowed Khaleda Zia’s funeral to be held in Dhaka. If Hasina wanted to, she would have stopped it even by shooting. And today Hasina is crying crocodile tears, some pro-India BNP leaders and activists are happy about it.”",0,rumorscanner.com,Related,Fake
2,Facebook Page,2025-12-31 10:25:00,Politics,The comment titled 'India will fully support Tarique Rahman in this election' was made by Indian Foreign Ministry spokesperson Randhir Jaiswal.,The statement titled 'India will fully support Tarique Rahman in this election' was made by Indian Foreign Ministry spokesperson Randhir Jaiswal.,0,rumorscanner.com,Related,Fake
3,Facebook Page,2025-12-31 10:13:00,Politics,"'I wanted to say that the Awami League will be stripped of its skin, but the case will be withdrawn with words: Mirza Fakhrul'","On November 11, Mirza Fakhrul gave a speech targeting the Awami League at a BNP discussion meeting in Thakurgaon. In this context, a photocard with his picture has been circulated on social media with the title 'I wanted to say that the skin of the Awami League will be removed, the case will be withdrawn with my face: Mirza Fakhrul', quoting Bangladesh Nationalist Party (BNP) Secretary General Mirza Fakhrul Islam Alamgir.",0,rumorscanner.com,Related,Fake
4,Facebook Page,2025-12-31 10:06:00,Politics,"Under the headline, 'Khaleda's hands are tied because of her rudeness towards me'","Quoting Shahjahan Chowdhury, a member of the central working committee of Bangladesh Jamaat-e-Islami and former member of parliament, ""Khaleda's hands are tied because of her rudeness towards me.""",0,rumorscanner.com,Related,Fake
5,Facebook Page,2025-12-31 10:25:00,Politics,"""I have instructed the leaders and activists to stop extortion for at least two months.""","A photocard bearing the RTV logo has been circulated on the internet with the headline, ""I have instructed the leaders and activists to stop extortion for at least two months,"" quoting Tarique Rahman, the acting chairperson of the Bangladesh Nationalist Party.",0,rumorscanner.com,Related,Altered
6,Facebook Page,2025-12-31 3:23:00,Politics,BNP demands postponement of national elections by one year following Khaleda Zia's death,"A photocard circulated on social media, in which BNP's National Standing Committee member Salahuddin Ahmed demanded that the national elections be postponed for a year following the death of Khaleda Zia. 'A group of BNP supporters of Salahuddin Ahmed said so.'",0,rumorscanner.com,Related,Fake
7,Facebook Page,2025-12-31 3:21:00,Politics,"Madrasa student raped in Munshiganj after being told she would go to heaven, Jamaat leader arrested","'Madrasa student raped in Munshiganj after being told she would go to heaven, Jamaat leader arrested' This publication date is stated as November 13, 2025",0,rumorscanner.com,Related,Fake
8,Facebook Page,2025-12-31 3:17:00,Politics,I admitted that I did the shooting.,"In the wake of the death of Inqilab Manch spokesperson Sharif Osman Hadi, Mirza Abbas, a member of the Nationalist Party (BNP) standing committee, has released a video titled 'I did the shooting, I admit it'. In the video, Mirza Abbas is seen saying, 'You know that I gave the order to shoot Hadi. The Yunus government knows this but they will not reveal it. The reason for this is that I have scared everyone with my people so much that they all call me father.'",0,rumorscanner.com,Related,Fake
9,Facebook Page,2025-12-31 1:32:00,Politics,"NCP leader receives rape threat from Saudi Arabia number, number revealed","A photocard featuring the design of Banglavision and the headline 'NCP leader receives rape threat from Saudi Arabia number, number revealed' involving National Citizens Party (NCP) Joint Member Secretary Dr. Mahmuda Mitu has gone viral on social media.",0,rumorscanner.com,Related,Altered
10,Facebook Page,2025-12-31 12:45:00,Politics,Mr. Tarique Rahman will meet Modi in India on January 1st after completing his registration and voter activities.,Mr. Tarique Rahman will complete his registration and voter activities and meet Modi in India on January 1st.,0,rumorscanner.com,Related,Altered
