class,normalized_entropy
Fake,0.9995517
Fake,0.99920905
Fake,0.9998878
Fake,0.99966735
Fake,0.9998035
Fake,0.999889
Fake,0.99990666
Fake,0.99855804
Fake,0.99805605
Fake,0.99985045
Fake,0.9997901
Fake,0.99577016
Fake,0.9999077
Fake,0.9994511
Fake,0.9983681
Fake,0.9978768
Fake,0.9998035
Fake,0.99990433
Fake,0.99989474
Fake,0.9999051
Fake,0.99984056
Fake,0.9994732
Fake,0.9999109
Fake,0.9998626
Fake,0.9998765
Fake,0.99983454
Fake,0.9999276
Fake,0.98700464
Fake,0.99924237
Fake,0.9998009
Fake,0.9934227
Fake,0.9999303
Fake,0.99991924
Fake,0.9989569
Fake,0.99971145
Fake,0.99981755
Fake,0.99987155
Fake,0.99922657
Fake,0.9998621
Fake,0.9997593
Fake,0.99709356
Fake,0.99946
Fake,0.99955463
Fake,0.9998655
Fake,0.99985397
Fake,0.99994653
Fake,0.99986726
Fake,0.999386
Fake,0.9993764
Fake,0.9997316
Fake,0.9998854
Fake,0.98255336
Fake,0.9996913
Fake,0.999929
Fake,0.9999368
Fake,0.9998677
Fake,0.99952066
Fake,0.9998247
Fake,0.9998477
Fake,0.9963347
Fake,0.9998897
Fake,0.99992424
Fake,0.9999301
Fake,0.9998566
Fake,0.9998635
Fake,0.99861985
Fake,0.99984074
Fake,0.99969333
Fake,0.9999301
Fake,0.9998447
Fake,0.9998788
Fake,0.99988997
Fake,0.9997613
Fake,0.99992037
Fake,0.98958564
Fake,0.99978715
Fake,0.9999136
Fake,0.9995635
Fake,0.9878826
Fake,0.99984777
Fake,0.999138
Fake,0.9997302
Fake,0.99993044
Fake,0.9997649
Fake,0.9999251
Fake,0.999914
Fake,0.9994883
Fake,0.999718
Fake,0.99991316
Fake,0.9993426
Fake,0.99974746
Fake,0.99991006
Fake,0.9998578
Fake,0.99912757
Fake,0.9999176
Fake,0.99989396
Fake,0.99984443
Fake,0.99795645
Fake,0.99992806
Fake,0.99992704
Fake,0.99968594
Fake,0.9862664
Fake,0.9990756
Fake,0.99993414
Fake,0.9999162
Fake,0.99982184
Fake,0.9998381
Fake,0.99990195
Fake,0.9938109
Fake,0.99934185
Fake,0.9998945
Fake,0.99992263
Fake,0.9998285
Fake,0.99988955
Fake,0.975824
Fake,0.99993306
Fake,0.999584
Fake,0.99513316
Fake,0.9996804
Fake,0.99989885
Fake,0.9996119
Fake,0.99892753
Fake,0.99963677
Fake,0.99354595
Fake,0.9998857
Fake,0.99986124
Fake,0.9999019
Fake,0.99243265
Fake,0.99944514
Fake,0.9995563
Fake,0.99955183
Fake,0.9998736
Fake,0.99963284
Fake,0.99105036
Fake,0.99988955
Fake,0.9998156
Fake,0.99779576
Fake,0.9998207
Fake,0.9989428
Fake,0.9997916
Fake,0.9995799
Fake,0.99994606
Fake,0.983489
Fake,0.9998254
Fake,0.9972204
Fake,0.99958676
Fake,0.9999184
Fake,0.999827
Fake,0.99961424
Fake,0.99764794
Fake,0.9991979
Fake,0.99985605
Fake,0.99983376
Fake,0.9998347
Fake,0.999952
Fake,0.9962606
Fake,0.9959733
Fake,0.9999175
Fake,0.9998751
Fake,0.9998903
Fake,0.99667495
Fake,0.99948907
Fake,0.9997978
Fake,0.99944705
Fake,0.99991566
Fake,0.99992514
Fake,0.9997797
Fake,0.9999211
Fake,0.99991953
Fake,0.999872
Fake,0.9999487
Fake,0.9996428
Fake,0.99953943
Fake,0.99982667
Fake,0.9999143
Fake,0.9999121
Fake,0.99862236
Fake,0.9874032
Fake,0.9998261
Fake,0.99983174
Fake,0.9998157
Fake,0.9999245
Fake,0.9997554
Fake,0.99863607
Fake,0.99991196
Fake,0.9998624
Fake,0.99962574
Fake,0.9996416
Fake,0.99856526
Fake,0.9970749
Fake,0.9999114
Fake,0.99990976
Fake,0.99970996
Fake,0.98429334
Fake,0.99993074
Fake,0.9997347
Fake,0.99953854
Fake,0.99965274
Fake,0.9998594
Fake,0.9998767
Fake,0.9999251
Fake,0.9997751
Fake,0.999074
Fake,0.9997384
Fake,0.9965815
Fake,0.98848474
Fake,0.9998087
Fake,0.9998233
Fake,0.99962604
Fake,0.99987507
Fake,0.99898815
Fake,0.9996601
Fake,0.9997359
Fake,0.99988425
Fake,0.9992966
Fake,0.99921405
Fake,0.9999236
Fake,0.9998846
Fake,0.99989516
Fake,0.99984026
Fake,0.99398565
Fake,0.999368
Fake,0.99858636
Fake,0.9998767
Fake,0.9999106
Fake,0.96943694
Fake,0.99987537
Fake,0.9999208
Fake,0.9999291
Fake,0.9998574
Fake,0.99918944
Fake,0.9980918
Fake,0.99992657
Fake,0.9998246
Fake,0.99988174
Fake,0.9992404
Fake,0.9998826
Fake,0.9998502
Fake,0.9998823
Fake,0.99966854
Fake,0.98403513
Fake,0.999352
Fake,0.99884444
Fake,0.999039
Fake,0.99992526
Fake,0.9996093
Fake,0.9997451
Fake,0.9998339
Fake,0.99991703
Fake,0.9997049
Fake,0.999901
Fake,0.999919
Fake,0.9931428
Fake,0.99889344
Fake,0.9993443
Fake,0.99975336
Fake,0.99993396
Fake,0.9998127
Fake,0.9998803
Fake,0.99976164
Fake,0.99812126
Fake,0.9998394
Fake,0.99796927
Fake,0.99922746
Fake,0.9996628
Fake,0.9999267
Fake,0.9997695
Fake,0.9999462
Fake,0.99988455
Fake,0.9999147
Fake,0.9998869
Fake,0.9972639
Fake,0.9995232
Fake,0.9794267
Fake,0.9997921
Fake,0.99982744
Fake,0.99420387
Fake,0.99217707
Fake,0.999909
Fake,0.9999313
Fake,0.9999316
Fake,0.9980863
Fake,0.99987364
Fake,0.9999237
Fake,0.9997572
Fake,0.99981856
Fake,0.99987155
Fake,0.99988973
Fake,0.99991727
Fake,0.9999113
Fake,0.9995421
Fake,0.9998846
Fake,0.999926
Fake,0.99995786
Fake,0.99951106
Fake,0.99991065
Fake,0.99748
Fake,0.99981153
Real,0.99258626
Real,0.9990252
Real,0.9978084
Real,0.99955183
Real,0.99771136
Real,0.98460245
Real,0.99828255
Real,0.99901766
Real,0.9992875
Real,0.9997274
Real,0.999401
Real,0.9986206
Real,0.99823046
Real,0.9995047
Real,0.9933996
Real,0.9990895
Real,0.99962276
Real,0.9946533
Real,0.9996233
Real,0.99941397
Real,0.9991511
Real,0.99697584
Real,0.99951607
Real,0.9949517
Real,0.9993142
Real,0.99972725
Real,0.99943054
Real,0.9996711
Real,0.9989031
Real,0.9995786
Real,0.99920356
Real,0.9994278
Real,0.9962402
Real,0.99902165
Real,0.9994952
Real,0.99715495
Real,0.9989345
Real,0.99925387
Real,0.9952878
Real,0.9994199
Real,0.9938217
Real,0.9996811
Real,0.99775994
Real,0.99959844
Real,0.99952316
Real,0.9994254
Real,0.99688303
Real,0.9996001
Real,0.9994523
Real,0.99962777
Real,0.9997312
Real,0.9713915
Real,0.9994439
Real,0.99919605
Real,0.99932283
Real,0.9994618
Real,0.9932432
Real,0.998474
Real,0.9995288
Real,0.999578
Real,0.99964017
Real,0.99918896
Real,0.99910927
Real,0.99321
Real,0.9989526
Real,0.9989073
Real,0.9985482
Real,0.9982996
Real,0.9996092
Real,0.9997386
Real,0.999341
Real,0.99926317
Real,0.99798936
Real,0.99956316
Real,0.9953327
Real,0.9994321
Real,0.99932766
Real,0.98252076
Real,0.99903905
Real,0.999546
Real,0.9970449
Real,0.9976572
Real,0.9928058
Real,0.99926794
Real,0.99938
Real,0.99887645
Real,0.9997887
Real,0.9995596
Real,0.9996337
Real,0.9986217
Real,0.9932875
Real,0.9934872
Real,0.999643
Real,0.98538715
Real,0.9933534
Real,0.9987832
Real,0.99974656
Real,0.999417
Real,0.998235
Real,0.99949956
Real,0.9994942
Real,0.9997428
Real,0.99908435
Real,0.9990018
Real,0.999277
Real,0.99957657
Real,0.9994796
Real,0.998752
Real,0.99967897
Real,0.9995449
Real,0.9991056
Real,0.99952054
Real,0.9987778
Real,0.9995628
Real,0.99807924
Real,0.9992401
Real,0.9996466
Real,0.9993736
Real,0.99879205
Real,0.99966145
Real,0.9996813
Real,0.99616855
Real,0.9996403
Real,0.99813247
Real,0.99970263
Real,0.9994164
Real,0.9986793
Real,0.9987299
Real,0.9987141
Real,0.99797195
Real,0.99569595
Real,0.9986883
Real,0.9993015
Real,0.9994633
Real,0.9981644
Real,0.9995594
Real,0.9996259
Real,0.9987175
Real,0.9958699
Real,0.9992714
Real,0.9991595
Real,0.9939699
Real,0.9993601
Real,0.9985232
Real,0.9986927
Real,0.9990389
Real,0.9989999
Real,0.9989101
Real,0.99915856
Real,0.98899055
Real,0.9994161
Real,0.9984221
Real,0.9995162
Real,0.9996916
Real,0.99949074
Real,0.9989083
Real,0.9984585
Real,0.98689735
Real,0.9993584
Real,0.99892384
Real,0.99902856
Real,0.9979954
Real,0.99900156
Real,0.99964356
Real,0.9994011
Real,0.99966604
Real,0.9993748
Real,0.9986069
Real,0.9995137
Real,0.99898106
Real,0.9995326
Real,0.99942213
Real,0.9995573
Real,0.9994545
Real,0.99965405
Real,0.99943876
Real,0.99905854
Real,0.99873704
Real,0.99869585
Real,0.9995896
Real,0.9932136
Real,0.9997348
Real,0.9935182
Real,0.99962
Real,0.9978314
Real,0.99733377
Real,0.99847555
Real,0.99707776
Real,0.9990732
Real,0.9976998
Real,0.9997047
Real,0.99855655
Real,0.9978823
Real,0.99940956
Real,0.9998075
Real,0.9994996
Real,0.9751693
Real,0.9987557
Real,0.99946254
Real,0.9992698
Real,0.99959755
Real,0.99913734
Real,0.98730296
Real,0.9986591
Real,0.99953896
Real,0.99405915
Real,0.9992724
Real,0.9910897
Real,0.99912417
Real,0.99905485
Real,0.99229056
Real,0.9931594
Real,0.9992441
Real,0.9989463
Real,0.9996885
Real,0.9957178
Real,0.9974232
Real,0.9977333
Real,0.9994487
Real,0.9985375
Real,0.9994233
Real,0.9997078
Real,0.9996954
Real,0.99924266
Real,0.9993272
Real,0.9978337
Real,0.99979705
Real,0.99971694
Real,0.99839926
Real,0.99954623
Real,0.99870473
Real,0.9972341
Real,0.99595547
Real,0.99942386
Real,0.99947125
Real,0.9982843
Real,0.9995054
Real,0.9932313
Real,0.99943763
Real,0.9995336
Real,0.99311763
Real,0.99897623
Real,0.9991127
Real,0.9994888
Real,0.99869037
Real,0.9996114
Real,0.99914366
Real,0.9991529
Real,0.9994768
Real,0.9990909
Real,0.9986012
Real,0.999005
Real,0.9995769
Real,0.9995775
Real,0.9975742
Real,0.9995194
Real,0.99885213
Real,0.9989681
Real,0.9973147
Real,0.99826705
Real,0.9995427
Real,0.99967736
Real,0.99921703
Real,0.9991562
Real,0.99960434
Real,0.9995188
Real,0.99968255
Real,0.9994946
Real,0.9909152
Real,0.9990183
Real,0.9992269
Real,0.99723315
Real,0.9995463
Real,0.9996139
Real,0.9984489
Real,0.9994831
Real,0.9993621
Real,0.9976193
Real,0.9977396
Real,0.9996086
Real,0.9996343
Real,0.99560875
Real,0.99896175
Real,0.997312
Real,0.99960804
Real,0.999325
Real,0.99919266
Real,0.9992533
Real,0.9924801
Real,0.99905926
Real,0.99939674
Real,0.9971319
Real,0.99652
Real,0.9981783
Real,0.9996787
Real,0.99967295
Real,0.9982579
Real,0.99940675
Real,0.99743104
Real,0.99309367
