layer,probe_acc_mean,probe_acc_std
0,0.748492738659065,0.0018643499354484897
1,0.748492738659065,0.0018643499354484897
2,0.7478193531009405,0.0014632330568922526
3,0.7840430068909789,0.009500254511174325
4,0.8007990841956409,0.010194288853005152
5,0.8242755493703845,0.00631387532163442
6,0.8269511346546654,0.013644637054951813
7,0.8229287782541357,0.014399607664364189
8,0.8276312540683712,0.013027719522719814
9,0.748492738659065,0.0018643499354484897
10,0.7592265044555677,0.0041805235196265
11,0.843058517205001,0.005764958249703473
12,0.848414177010617,0.018861740106868558
