layer,probe_acc_mean,probe_acc_std,lift_over_floor
0,0.748492738659065,0.0018643499354484897,1.7929850206765963e-06
1,0.748492738659065,0.0018643499354484897,1.7929850206765963e-06
2,0.7491593903616082,0.0040394066705306455,0.000668444687563885
3,0.7853763102960652,0.006087977332815115,0.036885364622020966
4,0.8075082489730872,0.009461953980602487,0.05901730329904287
5,0.8296356984130547,0.009956259451292571,0.08114475273901045
6,0.8383582860092927,0.011768515030020294,0.08986734033524846
7,0.8289600682364032,0.011989228070426945,0.08046912256235894
8,0.8390406500415255,0.009371956787119945,0.09054970436748122
9,0.748492738659065,0.0018643499354484897,1.7929850206765963e-06
10,0.7619020897398487,0.004378410228035329,0.013411144065804459
11,0.845738591726336,0.011460517522660607,0.09724764605229175
12,0.8490987856613769,0.018342602625210452,0.10060783998733258
