Accuracy,Precision,Recall,F1,ROC-AUC,Model,Seed
0.9799666110183639,0.98,0.98,0.98,0.9920512820512821,BanglaBERT-only,42
0.9799666110183639,0.964516129032258,0.9966666666666667,0.980327868852459,0.9915942028985508,BanglaBERT+CNN,42
0.9749582637729549,0.9611650485436893,0.99,0.9753694581280788,0.9934782608695653,BanglaBERT+Attention,42
0.9799666110183639,0.9736842105263158,0.9866666666666667,0.9801324503311258,0.9967670011148272,BanglaBERT+CNN+Attention (Full),42
0.9732888146911519,0.9551282051282052,0.9933333333333333,0.9738562091503268,0.9933110367892977,BanglaBERT-only,123
0.9833055091819699,0.9707792207792207,0.9966666666666667,0.9835526315789473,0.9928316610925307,BanglaBERT+CNN,123
0.986644407345576,0.9802631578947368,0.9933333333333333,0.9867549668874173,0.9960758082497213,BanglaBERT+Attention,123
0.9716193656093489,0.9796610169491525,0.9633333333333334,0.9714285714285714,0.994102564102564,BanglaBERT+CNN+Attention (Full),123
0.9799666110183639,0.98,0.98,0.98,0.9925641025641025,BanglaBERT-only,2024
0.9732888146911519,0.9829931972789115,0.9633333333333334,0.9730639730639731,0.9832664437012263,BanglaBERT+CNN,2024
0.9732888146911519,0.9797297297297297,0.9666666666666667,0.9731543624161074,0.9941806020066889,BanglaBERT+Attention,2024
0.9799666110183639,0.98,0.98,0.98,0.994314381270903,BanglaBERT+CNN+Attention (Full),2024
