rep,method,model_seed,weight_power,best_epoch,val_f1,val_bal_acc,test_bal_acc,test_acc,test_auc,test_recall_fake,test_recall_real,n_test,n_test_fake,n_test_sources,reuters_in_test
0,baseline,1000,,2,0.9782244556113903,0.9780801209372638,0.85,0.9433962264150944,0.9511627906976743,0.7,1.0,53,10,20,False
1,baseline,1001,,1,0.9830508474576272,0.9831355796321323,0.9060283687943262,0.9622641509433962,0.9609929078014185,0.8333333333333334,0.9787234042553191,53,6,11,True
2,baseline,1002,,1,0.9813242784380306,0.981429094990494,0.8888888888888888,0.96,0.9911111111111112,0.8,0.9777777777777777,50,5,25,False
3,baseline,1003,,3,0.9813242784380306,0.9814120587316464,0.8037280701754386,0.9041095890410958,0.9682017543859649,0.625,0.9824561403508771,73,16,20,True
4,baseline,1004,,1,0.9645868465430016,0.9645090359376074,0.8211538461538461,0.8867924528301887,0.9653846153846154,0.6923076923076923,0.95,53,13,24,False
5,baseline,1005,,3,0.9745331069609507,0.9747277118506306,0.8333333333333333,0.9746835443037974,0.9452054794520548,0.6666666666666666,1.0,79,6,22,True
6,baseline,1006,,3,0.9863945578231292,0.9864912843301188,0.8333333333333333,0.96,0.9962121212121212,0.6666666666666666,1.0,50,6,22,False
7,baseline,1007,,3,0.9831649831649831,0.9831928442174221,0.8571428571428572,0.9622641509433962,0.9751552795031055,0.7142857142857143,1.0,53,7,15,True
8,baseline,1008,,2,0.9864406779661017,0.9865319865319866,0.8181818181818181,0.9411764705882353,0.9617224880382775,0.6363636363636364,1.0,68,11,13,True
9,baseline,1009,,2,0.9846678023850085,0.984762591905449,0.8969594594594594,0.9056603773584906,0.9476351351351351,0.875,0.918918918918919,53,16,20,False
