rep,method,model_seed,weight_power,best_epoch,val_f1,val_bal_acc,test_bal_acc,test_acc,test_auc,test_recall_fake,test_recall_real,n_test,n_test_fake,n_test_sources,reuters_in_test
0,source_balanced,1000,1.0,2,0.9680672268907563,0.967910396481825,0.85,0.9433962264150944,0.9767441860465117,0.7,1.0,53,10,20,False
1,source_balanced,1001,1.0,2,0.967409948542024,0.9678058501500333,0.8226950354609929,0.9433962264150944,0.8971631205673759,0.6666666666666666,0.9787234042553191,53,6,11,True
2,source_balanced,1002,1.0,2,0.950530035335689,0.9523329592047094,0.9333333333333333,0.88,0.9955555555555556,1.0,0.8666666666666667,50,5,25,False
3,source_balanced,1003,1.0,3,0.9602649006622517,0.959561248221042,0.8349780701754386,0.9178082191780822,0.9791666666666666,0.6875,0.9824561403508771,73,16,20,True
4,source_balanced,1004,1.0,2,0.9630872483221476,0.9628427128427128,0.898076923076923,0.9245283018867925,0.976923076923077,0.8461538461538461,0.95,53,13,24,False
5,source_balanced,1005,1.0,2,0.9509306260575296,0.950924270221314,0.9098173515981736,0.9746835443037974,0.8995433789954338,0.8333333333333334,0.9863013698630136,79,6,22,True
6,source_balanced,1006,1.0,3,0.9678510998307953,0.9679203793206129,0.8333333333333333,0.96,0.9810606060606061,0.6666666666666666,1.0,50,6,22,False
7,source_balanced,1007,1.0,2,0.9609507640067911,0.9611230730467051,0.7639751552795031,0.9056603773584906,0.9440993788819876,0.5714285714285714,0.9565217391304348,53,7,15,True
8,source_balanced,1008,1.0,3,0.9473684210526315,0.9487660106216808,0.8548644338118022,0.9411764705882353,0.9074960127591707,0.7272727272727273,0.9824561403508771,68,11,13,True
9,source_balanced,1009,1.0,1,0.9619377162629758,0.9626881055452484,0.90625,0.9433962264150944,0.9797297297297297,0.8125,1.0,53,16,20,False
